"Combined_ESG","Environment","Social","Governance","Log_CO2","CO2_to_Rev"
6.2007,2.587,4.3548,5.5855,-1.3192,-5.1553
4.324,5.5396,5.3236,4.6841,6.624,10.182
6.5715,2.1401,3.7486,5.4644,-0.9127,-2.3202
0.7301,-2.1991,0.2654,0.4521,-3.1969,-4.4138
1.2982,2.3608,2.0931,1.2401,3.4685,3.0467
2.5773,-4.2686,0.5811,1.6706,-4.2236,-6.6389
0.2365,-1.1178,0.3997,-0.3143,-4.6547,-1.7757
2.5794,2.5008,2.3956,1.7642,3.2138,4.5447
0.4202,-2.0483,0.7646,-0.8165,-6.6372,-1.7905
-6.4185,-7.5933,-5.6199,-4.5068,-6.1291,-1.2179
6.502,5.9424,5.5585,6.9581,9.5792,11.5466
-4.5237,-5.8557,-4.6332,-2.9681,-2.9321,-0.4833
0.319,-2.3462,-1.0981,1.3534,-2.5314,-1.5575
1.6657,5.006,4.5532,4.3247,2.6531,1.4179
0.8565,-2.096,-1.0785,1.3996,-4.267,-4.9122
0.9994,1.2996,0.7955,0.9566,1.3381,1.3686
0.3958,0.2618,0.4314,0.2958,0.3024,0.549
11.5717,22.7476,8.4497,14.8188,20.278,11.4248
