"Year","ROE_P1","ROE_P2","ROE_P3","ROE_P4","ROE_LS","ROIC_P1","ROIC_P2","ROIC_P3","ROIC_P4","ROIC_LS","OP_Margin_P1","OP_Margin_P2","OP_Margin_P3","OP_Margin_P4","OP_Margin_LS","Excess_Return_P1","Excess_Return_P2","Excess_Return_P3","Excess_Return_P4","Excess_Return_LS","MB_Ratio_P1","MB_Ratio_P2","MB_Ratio_P3","MB_Ratio_P4","MB_Ratio_LS","DY_P1","DY_P2","DY_P3","DY_P4","DY_LS"
2002,25.1217307692308,12.9515094339623,13.2045098039216,21.5371428571429,-3.58458791208791,9.85905660377358,8.37415094339623,9.06519230769231,12.2458928571429,2.38683625336927,14.4847169811321,15.7777358490566,15.8715384615385,16.9882142857143,2.50349730458221,-23.2706411441642,-21.7066732722685,-15.5196653051239,-20.5018790200147,2.76876212414946,NA,NA,NA,NA,NA,1.79943396226415,1.60849056603774,1.57961538461538,1.51545454545455,-0.283979416809605
2003,22.9346296296296,15.7092452830189,16.1884905660377,20.2125925925926,-2.72203703703704,11.8916666666667,12.6248148148148,11.5456603773585,12.9072222222222,1.01555555555555,17.4838888888889,17.5787037037037,17.3509433962264,16.9164814814815,-0.567407407407408,53.8299127121613,53.9298879113679,50.6307186729904,47.9377868254273,-5.89212588673396,2.61775,2.89405217391304,2.8682829787234,3.254162,0.636412,1.76888888888889,2.42574074074074,1.87471698113208,2.06207547169811,0.293186582809224
2004,25.3592753623188,23.5189705882353,19.5765671641791,21.5478571428571,-3.8114182194617,14.4823188405797,13.3527536231884,13.7673529411765,14.5772857142857,0.0949668737060048,16.4742028985507,15.8278260869565,17.7714492753623,17.6218309859155,1.14762808736477,17.7087499581807,15.7552189754543,12.9379366775202,9.01323755541031,-8.6955124027704,10.8709228070175,3.41547678571429,3.5392052631579,4.86311384615385,-6.0078089608637,1.54132352941176,1.26253731343284,1.6195652173913,1.70791044776119,0.16658691834943
2005,23.2541025641026,19.1392405063291,22.133417721519,18.2524096385542,-5.00169292554835,15.115,12.7293670886076,15.2793670886076,14.113734939759,-1.00126506024096,16.3321518987342,15.7326582278481,17.2073417721519,18.1140963855422,1.78194448680799,16.2456286046915,16.4730224627638,19.7738570883121,10.9494992112732,-5.29612939341829,20.5932126984127,3.23432666666667,3.898834375,3.2870095890411,-17.3062031093716,1.28679487179487,1.39402597402597,1.43371794871795,1.79658536585366,0.509790494058787
2006,17.0877215189873,19.0276543209877,20.0410126582278,17.460119047619,0.372397528631708,11.9274683544304,13.1641975308642,16.3784810126582,14.4046428571429,2.47717450271248,13.1349382716049,16.0985,15.1637037037037,19.1041666666667,5.96922839506173,6.36164113819205,11.875194820367,9.26538770242838,9.91279232577345,3.55115118758141,3.4402875,3.06743382352941,3.9821974025974,3.319655,-0.1206325,1.16115384615385,1.39901234567901,1.68405063291139,1.7666265060241,0.60547265987025
2007,14.2110588235294,9.40369047619048,13.6106976744186,12.7647126436782,-1.44634617985125,10.8574418604651,7.86720930232558,9.34627906976744,11.2227272727273,0.365285412262157,17.6404651162791,10.072,14.3936046511628,14.2736363636364,-3.36682875264271,13.7606166113853,-6.84240882560963,-3.35901463312854,-0.481425554936984,-14.2420421663223,3.35544189189189,5.15140759493671,3.10377857142857,3.51012409638554,0.15468220449365,0.990121951219512,1.23385542168675,1.73211764705882,1.88057471264368,0.890452761424166
2008,10.2967741935484,7.33489130434783,12.9791208791209,18.0884210526316,7.79164685908319,8.18372340425532,9.37297872340426,8.49521276595745,9.75145833333333,1.56773492907801,14.6769892473118,13.6433333333333,12.4164893617021,14.9445833333333,0.267594086021505,-41.9253465086089,-45.4661907685108,-45.4946736974945,-43.1367594148215,-1.21141290621255,5.50539605263158,2.83678571428571,2.80427111111111,4.1736847826087,-1.33171127002288,1.17,1.72188888888889,2.10340659340659,2.173125,1.003125
2009,14.3712371134021,14.2589690721649,18.6126804123711,22.9053921568627,8.53415504346068,11.9506315789474,11.8258762886598,11.4946464646465,13.2533009708738,1.30266939192642,13.4287878787879,15.9365,17.4876,16.7440776699029,3.31528979111503,99.4332815141642,87.0306940612173,101.277233968801,95.6403640407905,-3.79291747337379,1.58742380952381,1.65506813186813,2.59733645833333,1.9567202020202,0.369296392496393,2.00775510204082,3.08948979591837,3.75795918367347,3.88203883495146,1.87428373291064
2010,16.8043564356436,16.9214705882353,21.9826732673267,24.9747572815534,8.17040084590984,13.1711881188119,12.0576470588235,12.6279411764706,13.1371153846154,-0.0340727341964975,19.1839215686275,15.7130097087379,17.502427184466,16.7632380952381,-2.42068347338936,34.2744159383508,30.5040178916029,26.1592853715578,20.4177922352332,-13.8566237031176,3.10422282608696,2.48916421052632,2.76555,2.73011274509804,-0.374110080988917,1.2459595959596,1.3814,1.96470588235294,2.02019230769231,0.774232711732712
2011,13.40375,16.7435294117647,17.6022549019608,19.6364077669903,6.23265776699029,11.8950476190476,11.5318269230769,12.2710476190476,10.766261682243,-1.12878593680463,18.7759047619048,16.4809615384615,17.834380952381,16.8191588785047,-1.95674588340009,13.3207226110948,12.8984343971616,12.5418503555076,4.46826657734122,-8.85245603375361,3.35282736842105,3.32612959183673,2.366858,3.33144757281553,-0.0213797956055188,0.964077669902913,1.48388349514563,1.78563106796117,2.07114285714286,1.10706518723994
2012,17.9058653846154,14.9422330097087,19.5248,22.6265420560748,4.72067667145938,12.6414705882353,11.3749038461538,13.0653333333333,12.7215887850467,0.0801181968114353,19.3128571428571,17.4926666666667,18.7709523809524,17.2772222222222,-2.03563492063492,20.7051956781667,16.606237479921,18.6557950166672,14.6393018752324,-6.06589380293432,3.10809191919192,2.93022178217822,6.25402708333333,3.00504622641509,-0.103045692776825,1.30514285714286,1.42304761904762,2.08158415841584,2.19990740740741,0.89476455026455
2013,15.5342156862745,16.3592307692308,21.8180582524272,22.4034259259259,6.86921023965142,11.2681904761905,11.7624299065421,12.5389523809524,12.3257407407407,1.05755026455027,18.6215887850467,17.4782242990654,18.6944859813084,16.5344545454545,-2.08713423959219,40.5747521978209,30.7930965603819,32.6618524131392,22.4012237696658,-18.173528428155,3.84697216494845,3.104769,3.67802673267327,3.33936481481481,-0.507607350133639,1.33778846153846,1.55285714285714,1.96122641509434,2.37072727272727,1.03293881118881
2014,12.8507692307692,15.3864150943396,32.5838461538462,25.2920720720721,12.4413028413028,9.306,11.2044545454545,13.5511009174312,10.3905357142857,1.08453571428572,16.5985454545455,18.7279090909091,18.8939090909091,15.96625,-0.632295454545455,19.4048868017064,21.0220984280833,22.1898251708775,19.6718041060533,0.266917304346904,5.22600594059406,4.41825714285714,4.06056601941748,3.60473909090909,-1.62126684968497,1.23065420560748,1.49733944954128,1.95418181818182,2.18990990990991,0.959255704302433
2015,10.8687610619469,24.1674358974359,26.0265789473684,24.7875221238938,13.9187610619469,9.36924369747899,11.9989915966387,12.0598319327731,11.4592372881356,2.0899935906566,15.8,19.0289075630252,18.4602521008403,16.1778991596639,0.377899159663865,-1.71730645469159,-3.78027008770345,-3.91996284161136,-4.57916130633085,-2.86185485163926,5.433625,5.71739122807018,4.35605263157895,5.60722068965517,0.173595689655172,1.10017391304348,1.52610169491525,1.80773109243697,2.11700854700855,1.01683463396507
2016,17.8322033898305,19.7818260869565,19.3674782608696,23.4678761061947,5.63567271636418,11.0711666666667,12.7040833333333,11.8998333333333,10.84775,-0.223416666666667,16.47825,18.0415833333333,20.1374166666667,18.3431666666667,1.86491666666667,33.6090826741942,28.4389655416272,32.2417797735703,29.9908076151128,-3.6182750590814,4.76777247706422,4.39419217391304,6.84991379310345,6.55346756756757,1.78569509050335,1.19773109243697,2.03233333333333,2.12925,2.41025210084034,1.21252100840336
2017,20.2725,24.4675652173913,26.1887826086957,23.9378571428571,3.66535714285714,11.3980327868852,14.7339344262295,13.2034426229508,15.556393442623,4.1583606557377,17.6133606557377,18.6574590163934,18.9918032786885,20.2016393442623,2.58827868852459,19.4159334426213,15.178681594628,12.7850541269063,13.2621710173827,-6.15376242523859,5.5720247706422,6.62276724137931,5.56821034482759,9.6271094017094,4.0550846310672,1.17672268907563,1.50471074380165,1.95619834710744,2.06180327868852,0.885080589612895
2018,21.7792372881356,24.152735042735,23.3806194690265,25.421452991453,3.6422157033174,13.1320491803279,15.3806557377049,12.5940163934426,14.20368,1.07163081967213,16.8960655737705,19.3809917355372,19.07,18.64912,1.75305442622951,11.7766663976515,10.9111531651057,7.85063892097815,5.40582025015483,-6.37084614749671,5.63435636363636,9.26145438596491,5.53640869565217,8.40056416666667,2.7662078030303,1.14314049586777,1.56508333333333,2.18289256198347,2.126,0.982859504132231
2019,12.5971551724138,17.9129411764706,18.5135087719298,22.1878333333333,9.59067816091954,11.3241463414634,10.7885365853659,10.5643089430894,9.86992063492064,-1.45422570654278,12.1663414634146,16.6512195121951,16.8139837398374,14.9880158730159,2.82167440960124,13.4620308974561,15.5011489785817,9.75347680701099,5.54907718363037,-7.91295371382577,4.8945037037037,8.19863389830508,5.56013185840708,5.76530762711864,0.87080392341494,1.27142857142857,1.72426229508197,2.4350406504065,2.1588,0.887371428571428
2020,25.1047863247863,30.362735042735,28.6058620689655,31.91525,6.81046367521368,16.6676612903226,15.4331451612903,14.3907258064516,15.4926984126984,-1.17496287762417,20.4014516129032,18.2929838709677,18.1695967741936,18.0704761904762,-2.33097542242704,38.1549684250576,34.876405378182,31.9415849606097,28.2439140389218,-9.91105438613582,5.3741,6.76159391304348,6.5975052631579,7.65792583333333,2.28382583333333,1.41737704918033,2.14451612903226,2.54715447154472,2.1815873015873,0.764210252406974
2021,22.8509649122807,26.5563063063063,27.9116216216216,26.4780508474576,3.62708593517693,15.8319672131148,14.0785123966942,14.2543801652893,13.7124193548387,-2.11954785827604,18.8880327868852,19.8514754098361,20.0118032786885,19.9037096774194,1.01567689053411,10.3164902073921,15.3922618723849,11.0425974469662,10.9375313975121,0.621041190120067,7.99541875,6.54546818181818,10.618929661017,6.84472627118644,-1.15069247881356,1.16801652892562,1.93172131147541,1.78286885245902,1.77193548387097,0.603918954945348
2022,21.4809302325581,25.0725287356322,25.197619047619,27.4740909090909,5.99316067653277,18.4775531914894,13.7924175824176,15.5774725274725,12.435,-6.04255319148936,19.9629473684211,18.8120879120879,16.9151086956522,18.3474468085106,-1.61550055991041,-3.77563564339695,-2.30393260960345,-6.606899274243,-6.09487140195722,-2.31923575856027,13.0887593406593,6.21901758241758,17.6301130434783,6.57595463917526,-6.51280470148408,1.21571428571429,1.87262626262626,1.61313131313131,1.741,0.525285714285714
